0.46750		-1.45864
0.47250		-1.49997
0.47250		-1.49856
0.49250		-1.64554
0.50250		-1.66508
0.51000		-1.73480
0.51250		-1.74160
0.51250		-1.72876
0.51750		-1.71422
0.51750		-1.73175
0.52000		-1.72608
0.52000		-1.76685
0.52500		-1.72849
0.52500		-1.77880
0.53750		-1.75095
0.54000		-1.77905
0.54250		-1.79113
0.55000		-1.75508
0.55250		-1.77037
0.55500		-1.77888
0.55500		-1.78563
0.55750		-1.77900
0.56000		-1.76151
0.56000		-1.74980
0.56750		-1.75558
0.57000		-1.73724
0.57250		-1.73535
0.58500		-1.69472
